packet_count,byte_count,duration,packet_rate,label
48,3936,7.24404186053909,6.626135094756053,0
48,3984,33.36319979967999,1.4387109236584796,0
25,2325,14.662636889219227,1.705013919998344,0
17,1615,25.28727588810899,0.672274865636833,0
34,2720,14.101166897574881,2.4111479742749036,0
44,3476,56.41722680303339,0.7799036303860695,0
11,825,54.55526906836581,0.20163038672241493,0
40,3400,19.58332839493937,2.042553706566888,0
41,2460,22.468252635476496,1.8247969998015154,0
34,2652,18.90635218986712,1.7983373872735924,0
10,1180,24.465170210056726,0.40874434611083843,0
18,1404,10.654785658047075,1.6893817086226806,0
27,3051,59.13312061981809,0.456596907401351,0
20,2000,6.823269250202623,2.9311462389390663,0
11,737,8.180973261992015,1.3445832968437754,0
38,4522,44.38814757203069,0.8560843846510073,0
13,1339,41.80042675283631,0.31100160954978534,0
32,2144,30.611291244113374,1.0453658992955313,0
34,2890,43.91433812698927,0.7742345996808722,0
7,665,40.305530993927626,0.1736734345729029,0
18,1548,28.434662177590912,0.6330302040368755,0
41,3239,54.171335769593526,0.7568578366681772,0
8,512,49.472253560484795,0.16170680379900618,0
28,2072,17.829551262208344,1.5704265120429037,0
25,2375,21.489089929875963,1.163381049713179,0
18,1296,19.328617340271194,0.9312616460411258,0
43,2580,37.260849531821194,1.1540262914101704,0
49,4263,5.999292898888436,8.16762922328377,0
37,3071,34.14683245663721,1.0835558480273684,0
7,609,30.3975234940551,0.2302819175834835,0
18,1944,19.24678205226329,0.9352212723728185,0
46,3772,59.04527530284769,0.7790631809922558,0
26,2158,49.78776074895173,0.5222166976157373,0
47,2867,24.910341228003226,1.8867666070814175,0
35,2135,21.358524327448876,1.6386899892245739,0
22,1716,16.347892425242108,1.3457392199394893,0
27,2241,11.917254642984641,2.265622478403124,0
19,1938,36.3401642903701,0.5228374821914296,0
13,780,6.155420094398917,2.111959833875394,0
7,714,21.00145526522373,0.3333102354859802,0
29,2146,57.848083210517224,0.5013130667521855,0
29,2349,27.631413760394008,1.0495300838195865,0
7,532,16.803204461611635,0.4165872060887018,0
29,3364,35.25018444229076,0.8226907308095609,0
38,2470,47.572894250027005,0.7987741885176227,0
19,1919,55.8196552914936,0.340381894169372,0
10,870,34.42505264910662,0.29048612073101693,0
